id,title,genres,overview,poster_url,trailer_url
38,Bad Newz,"Comedy,Drama,Romance","A woman discovers she is pregnant with twins from two different fathers, leading to comedic chaos.",https://placehold.co/300x450/0f3460/f1c40f?text=Bad%20Newz,https://www.youtube.com/watch?v=8EpF1d-MVzE
39,Sarfira,Drama,A man from a small village dreams of making low-cost airlines accessible to every Indian.,https://placehold.co/300x450/16213e/f39c12?text=Sarfira,https://www.youtube.com/watch?v=8EpF1d-MVzE
40,Kakuda,"Comedy,Horror",A man must face a curse that shortens his life unless he performs a bizarre ritual every night.,https://placehold.co/300x450/0f3460/f1c40f?text=Kakuda,https://www.youtube.com/watch?v=8EpF1d-MVzE
41,Phir Aayi Hasseen Dillruba,"Crime,Romance,Thriller",A woman finds herself in another murder mystery as her past catches up with her in a new city.,https://placehold.co/300x450/1a1a1a/e74c3c?text=Phir%20Aayi%20Hasseen%20Dillrub,https://www.youtube.com/watch?v=8EpF1d-MVzE
42,Tiku Weds Sheru,"Comedy,Drama,Romance",Two eccentric individuals find love in the most unexpected circumstances of Bollywood.,https://placehold.co/300x450/0f3460/f1c40f?text=Tiku%20Weds%20Sheru,https://www.youtube.com/watch?v=8EpF1d-MVzE
43,Bholaa,"Action,Adventure,Crime",An ex-convict must race against time to save his daughter from a drug cartel.,https://placehold.co/300x450/1a1a2e/e50914?text=Bholaa,https://www.youtube.com/watch?v=8EpF1d-MVzE
44,Shehzada,"Action,Comedy,Drama",A young man discovers he is the heir to a massive fortune and must fight to reclaim his rightful place.,https://placehold.co/300x450/1a1a2e/e50914?text=Shehzada,https://www.youtube.com/watch?v=8EpF1d-MVzE
45,Selfiee,"Comedy,Drama",A superstar and his fan find themselves in a comedic battle of egos over a driving license.,https://placehold.co/300x450/0f3460/f1c40f?text=Selfiee,https://www.youtube.com/watch?v=8EpF1d-MVzE
46,Kuttey,"Action,Comedy,Crime",Three stray criminals cross paths while trying to pull off a heist on a rainy night in Mumbai.,https://placehold.co/300x450/1a1a2e/e50914?text=Kuttey,https://www.youtube.com/watch?v=8EpF1d-MVzE
47,Chhatriwali,"Comedy,Drama",A small-town woman takes on the taboo subject of sex education by manufacturing condoms.,https://placehold.co/300x450/0f3460/f1c40f?text=Chhatriwali,https://www.youtube.com/watch?v=8EpF1d-MVzE
48,Mission Raniganj,"Action,Drama,Thriller",A mining engineer races against time to rescue 65 trapped miners from a flooded coal mine.,https://placehold.co/300x450/1a1a2e/e50914?text=Mission%20Raniganj,https://www.youtube.com/watch?v=8EpF1d-MVzE
49,Tejas,"Action,Drama,Thriller",An Indian Air Force pilot embarks on a daring rescue mission in hostile territory.,https://placehold.co/300x450/1a1a2e/e50914?text=Tejas,https://www.youtube.com/watch?v=8EpF1d-MVzE
50,Ganapath,"Action,Drama,Sci-Fi","In a dystopian future, a man rises from the slums to become a symbol of hope for the oppressed.",https://placehold.co/300x450/1a1a2e/e50914?text=Ganapath,https://www.youtube.com/watch?v=8EpF1d-MVzE
51,Yaariyan 2,"Drama,Romance","Three cousins navigate love, heartbreak, and friendship in the city of dreams.",https://placehold.co/300x450/16213e/f39c12?text=Yaariyan%202,https://www.youtube.com/watch?v=8EpF1d-MVzE
52,The Vaccine War,"Drama,History,Thriller",The untold story of Indian scientists who developed the indigenous COVID-19 vaccine against all odds.,https://placehold.co/300x450/16213e/f39c12?text=The%20Vaccine%20War,https://www.youtube.com/watch?v=8EpF1d-MVzE
53,Fukrey 3,Comedy,The lovable losers return for another round of harebrained schemes and hilarious misadventures.,https://placehold.co/300x450/0f3460/f1c40f?text=Fukrey%203,https://www.youtube.com/watch?v=8EpF1d-MVzE
54,Dream Girl 2,"Comedy,Drama,Romance",A man who impersonates a female phone operator finds himself in a web of comedic complications.,https://placehold.co/300x450/0f3460/f1c40f?text=Dream%20Girl%202,https://www.youtube.com/watch?v=8EpF1d-MVzE
55,Rocky Aur Rani Kii Prem Kahaani,"Comedy,Drama,Romance",A couple with contrasting personalities decides to live with each other's families before getting married.,https://placehold.co/300x450/0f3460/f1c40f?text=Rocky%20Aur%20Rani%20Kii%20Prem%20K,https://www.youtube.com/watch?v=8EpF1d-MVzE
56,Zara Hatke Zara Bachke,"Comedy,Drama,Romance","A married couple fakes a divorce to claim a government housing scheme, leading to unexpected consequences.",https://placehold.co/300x450/0f3460/f1c40f?text=Zara%20Hatke%20Zara%20Bachke,https://www.youtube.com/watch?v=8EpF1d-MVzE
57,Satyaprem Ki Katha,"Drama,Romance",A man falls in love with a woman who is hiding a painful secret from her past.,https://placehold.co/300x450/16213e/f39c12?text=Satyaprem%20Ki%20Katha,https://www.youtube.com/watch?v=8EpF1d-MVzE
58,Adipurush,"Action,Adventure,Drama","A modern retelling of the Ramayana, where Lord Ram battles the demon king Ravan to rescue his wife Sita.",https://placehold.co/300x450/1a1a2e/e50914?text=Adipurush,https://www.youtube.com/watch?v=8EpF1d-MVzE
59,The Kerala Story,Drama,The story of women from Kerala who were converted to Islam and recruited by ISIS.,https://placehold.co/300x450/16213e/f39c12?text=The%20Kerala%20Story,https://www.youtube.com/watch?v=8EpF1d-MVzE
60,OMG 2,"Comedy,Drama",A man takes the education system to court with the help of a divine messenger after his son is expelled.,https://placehold.co/300x450/0f3460/f1c40f?text=OMG%202,https://www.youtube.com/watch?v=8EpF1d-MVzE
61,Gadar 2,"Action,Drama",Tara Singh returns to Pakistan to rescue his son who has been captured during the Indo-Pak war of 1971.,https://placehold.co/300x450/1a1a2e/e50914?text=Gadar%202,https://www.youtube.com/watch?v=8EpF1d-MVzE
62,OMG - Oh My God!,"Comedy,Drama,Fantasy","An atheist sues God after his shop is destroyed by an earthquake, leading to a divine courtroom drama.",https://placehold.co/300x450/0f3460/f1c40f?text=OMG%20-%20Oh%20My%20God%21,https://www.youtube.com/watch?v=8EpF1d-MVzE
63,Tu Jhoothi Main Makkaar,"Comedy,Drama,Romance","A breakup consultant falls in love with a client, only to discover she is his toughest case yet.",https://placehold.co/300x450/0f3460/f1c40f?text=Tu%20Jhoothi%20Main%20Makkaar,https://www.youtube.com/watch?v=8EpF1d-MVzE
64,Bholaa Shankar,"Action,Drama",A taxi driver in Kolkata takes on a criminal syndicate to protect his adopted sister.,https://placehold.co/300x450/1a1a2e/e50914?text=Bholaa%20Shankar,https://www.youtube.com/watch?v=8EpF1d-MVzE
65,Sam Bahadur,"Biography,Drama,War","The story of Field Marshal Sam Manekshaw, the chief of the Indian Army during the 1971 war.",https://placehold.co/300x450/1a1a2e/f39c12?text=Sam%20Bahadur,https://www.youtube.com/watch?v=8EpF1d-MVzE
66,Hi Nanna,"Drama,Family,Romance",A single father must confront his past when his daughter's mother re-enters their lives.,https://placehold.co/300x450/16213e/f39c12?text=Hi%20Nanna,https://www.youtube.com/watch?v=8EpF1d-MVzE
67,Dasara,"Action,Drama,Thriller",A man from a coal mining town seeks revenge against the oppressive forces that destroyed his life.,https://placehold.co/300x450/1a1a2e/e50914?text=Dasara,https://www.youtube.com/watch?v=8EpF1d-MVzE
68,Virupaksha,"Horror,Mystery,Thriller","A man investigates a series of mysterious deaths in his ancestral village, uncovering a dark supernatural secret.",https://placehold.co/300x450/0d0d0d/c0392b?text=Virupaksha,https://www.youtube.com/watch?v=8EpF1d-MVzE
69,Custody,"Action,Crime,Thriller",A police constable must protect a key witness from a corrupt system and ruthless criminals.,https://placehold.co/300x450/1a1a2e/e50914?text=Custody,https://www.youtube.com/watch?v=8EpF1d-MVzE
70,Vinaro Bhagyamu Vishnu Katha,"Comedy,Drama,Romance","A man discovers his neighbor has been using his identity for a dating app, leading to unexpected romance.",https://placehold.co/300x450/0f3460/f1c40f?text=Vinaro%20Bhagyamu%20Vishnu%20Ka,https://www.youtube.com/watch?v=8EpF1d-MVzE
71,Writer Padmabhushan,"Comedy,Drama,Romance","An aspiring writer pretends to be a famous author to impress a girl, but the lie spirals out of control.",https://placehold.co/300x450/0f3460/f1c40f?text=Writer%20Padmabhushan,https://www.youtube.com/watch?v=8EpF1d-MVzE
72,Balagam,"Comedy,Drama,Family","A family comes together for a funeral, but old grudges and secrets threaten to tear them apart.",https://placehold.co/300x450/0f3460/f1c40f?text=Balagam,https://www.youtube.com/watch?v=8EpF1d-MVzE
73,Sir,Drama,A young man from a poor family becomes a teacher and inspires his students to dream beyond their circumstances.,https://placehold.co/300x450/16213e/f39c12?text=Sir,https://www.youtube.com/watch?v=8EpF1d-MVzE
74,Sita Ramam,"Action,Drama,Mystery,Romance",An orphan soldier's life changes after he receives a letter from a girl named Sita.,https://placehold.co/300x450/1a1a2e/e50914?text=Sita%20Ramam,https://www.youtube.com/watch?v=8EpF1d-MVzE
75,Karthikeya 2,"Action,Adventure,Fantasy,Mystery",A doctor embarks on a quest to find the lost anklet of Lord Krishna before it falls into the wrong hands.,https://placehold.co/300x450/1a1a2e/e50914?text=Karthikeya%202,https://www.youtube.com/watch?v=8EpF1d-MVzE
76,Bimbisara,"Action,Drama,Fantasy","A cruel king from ancient times is transported to the modern world, where he must redeem himself.",https://placehold.co/300x450/1a1a2e/e50914?text=Bimbisara,https://www.youtube.com/watch?v=8EpF1d-MVzE
77,Oke Oka Jeevitham,"Drama,Sci-Fi",A musician gets a chance to travel back in time and prevent a tragedy that changed his life.,https://placehold.co/300x450/16213e/f39c12?text=Oke%20Oka%20Jeevitham,https://www.youtube.com/watch?v=8EpF1d-MVzE
78,Ante Sundaraniki,"Comedy,Drama,Romance","A man from a conservative Brahmin family falls in love with a Christian girl, leading to comedic chaos.",https://placehold.co/300x450/0f3460/f1c40f?text=Ante%20Sundaraniki,https://www.youtube.com/watch?v=8EpF1d-MVzE
79,Major,"Action,Biography,Drama","The story of Major Sandeep Unnikrishnan, who sacrificed his life during the 26/11 Mumbai attacks.",https://placehold.co/300x450/1a1a2e/e50914?text=Major,https://www.youtube.com/watch?v=8EpF1d-MVzE
80,F3: Fun and Frustration,Comedy,Two men desperate for money get involved in a hilarious scheme involving a wealthy industrialist.,https://placehold.co/300x450/0f3460/f1c40f?text=F3%3A%20Fun%20and%20Frustration,https://www.youtube.com/watch?v=8EpF1d-MVzE
81,DJ Tillu,"Comedy,Crime,Romance",A reckless DJ finds himself in deep trouble when he gets involved with a mysterious woman and a murder.,https://placehold.co/300x450/0f3460/f1c40f?text=DJ%20Tillu,https://www.youtube.com/watch?v=8EpF1d-MVzE
82,Khiladi,"Action,Crime,Thriller",A con artist gets caught in a web of deception when he tries to pull off the ultimate heist.,https://placehold.co/300x450/1a1a2e/e50914?text=Khiladi,https://www.youtube.com/watch?v=8EpF1d-MVzE
83,Bheemla Nayak,"Action,Drama,Thriller","A sub-inspector clashes with an ex-army man, leading to a battle of egos and ideologies.",https://placehold.co/300x450/1a1a2e/e50914?text=Bheemla%20Nayak,https://www.youtube.com/watch?v=8EpF1d-MVzE
84,Radhe Shyam,"Drama,Romance","A palmist falls in love with a doctor, but his prediction of her death threatens their relationship.",https://placehold.co/300x450/16213e/f39c12?text=Radhe%20Shyam,https://www.youtube.com/watch?v=8EpF1d-MVzE
85,Beast,"Action,Comedy,Thriller",A former RAW agent is held hostage in a shopping mall along with other customers by terrorists.,https://placehold.co/300x450/1a1a2e/e50914?text=Beast,https://www.youtube.com/watch?v=8EpF1d-MVzE
86,Sarkaru Vaari Paata,"Action,Drama",A man who believes in the importance of financial discipline takes on a corrupt politician.,https://placehold.co/300x450/1a1a2e/e50914?text=Sarkaru%20Vaari%20Paata,https://www.youtube.com/watch?v=8EpF1d-MVzE
87,Acharya,"Action,Drama",A social reformer takes on a corrupt system to protect the sacred land of his temple.,https://placehold.co/300x450/1a1a2e/e50914?text=Acharya,https://www.youtube.com/watch?v=8EpF1d-MVzE
88,Bachchhan Paandey,"Action,Comedy,Crime","A struggling filmmaker decides to make a biopic on a ruthless gangster, but things go hilariously wrong.",https://placehold.co/300x450/1a1a2e/e50914?text=Bachchhan%20Paandey,https://www.youtube.com/watch?v=8EpF1d-MVzE
89,Gehraiyaan,"Drama,Romance,Thriller",A woman finds herself drawn into a complex web of deceit and betrayal involving her cousin's fiancé.,https://placehold.co/300x450/16213e/f39c12?text=Gehraiyaan,https://www.youtube.com/watch?v=8EpF1d-MVzE
90,A Thursday,"Drama,Thriller",A playschool teacher takes 16 children hostage and makes a series of shocking demands.,https://placehold.co/300x450/16213e/f39c12?text=A%20Thursday,https://www.youtube.com/watch?v=8EpF1d-MVzE
91,Jalsa,"Drama,Thriller",A journalist and a cook find their lives intertwined after a hit-and-run accident.,https://placehold.co/300x450/16213e/f39c12?text=Jalsa,https://www.youtube.com/watch?v=8EpF1d-MVzE
92,Gangubai Kathiawadi,"Biography,Crime,Drama","The story of Gangubai, a woman who rises from the brothels of Mumbai to become a powerful figure.",https://placehold.co/300x450/1a1a2e/f39c12?text=Gangubai%20Kathiawadi,https://www.youtube.com/watch?v=8EpF1d-MVzE
93,Badhaai Do,"Comedy,Drama,Romance",A gay police officer and a lesbian teacher enter a marriage of convenience to please their families.,https://placehold.co/300x450/0f3460/f1c40f?text=Badhaai%20Do,https://www.youtube.com/watch?v=8EpF1d-MVzE
94,Looop Lapeta,"Action,Comedy,Crime",A woman must race against time to save her boyfriend after he loses a mobster's money.,https://placehold.co/300x450/1a1a2e/e50914?text=Looop%20Lapeta,https://www.youtube.com/watch?v=8EpF1d-MVzE
95,Atrangi Re,"Comedy,Drama,Romance","A woman is forcibly married to a man, but her heart belongs to someone else who only exists in her imagination.",https://placehold.co/300x450/0f3460/f1c40f?text=Atrangi%20Re,https://www.youtube.com/watch?v=8EpF1d-MVzE
96,Chandigarh Kare Aashiqui,"Comedy,Drama,Romance","A gym owner falls in love with a Zumba instructor, only to discover she is a transgender woman.",https://placehold.co/300x450/0f3460/f1c40f?text=Chandigarh%20Kare%20Aashiqui,https://www.youtube.com/watch?v=8EpF1d-MVzE
97,Tadap,"Action,Drama,Romance","A man falls obsessively in love with a woman, but their relationship is tested by dark secrets.",https://placehold.co/300x450/1a1a2e/e50914?text=Tadap,https://www.youtube.com/watch?v=8EpF1d-MVzE
98,Antim: The Final Truth,"Action,Crime,Drama",A cop takes on a ruthless land mafia don who has risen from poverty to become a powerful criminal.,https://placehold.co/300x450/1a1a2e/e50914?text=Antim%3A%20The%20Final%20Truth,https://www.youtube.com/watch?v=8EpF1d-MVzE
99,Satyameva Jayate 2,"Action,Crime,Drama","A man fights against corruption and injustice in society, taking the law into his own hands.",https://placehold.co/300x450/1a1a2e/e50914?text=Satyameva%20Jayate%202,https://www.youtube.com/watch?v=8EpF1d-MVzE
100,Sooryavanshi,"Action,Crime,Thriller",A DCP sets out to stop a terrorist group planning a series of bombings across Mumbai.,https://placehold.co/300x450/1a1a2e/e50914?text=Sooryavanshi,https://www.youtube.com/watch?v=8EpF1d-MVzE
101,Bunty Aur Babli 2,"Comedy,Crime",Two con artists must come out of retirement when a new pair of impostors starts using their name.,https://placehold.co/300x450/0f3460/f1c40f?text=Bunty%20Aur%20Babli%202,https://www.youtube.com/watch?v=8EpF1d-MVzE
102,Dhamaka,"Action,Crime,Thriller","A news anchor gets a call from a terrorist who has planted bombs on a bridge, forcing him into a moral dilemma.",https://placehold.co/300x450/1a1a2e/e50914?text=Dhamaka,https://www.youtube.com/watch?v=8EpF1d-MVzE
103,Sardar Udham,"Biography,Crime,Drama","The story of Sardar Udham Singh, who assassinated Michael O'Dwyer to avenge the Jallianwala Bagh massacre.",https://placehold.co/300x450/1a1a2e/f39c12?text=Sardar%20Udham,https://www.youtube.com/watch?v=8EpF1d-MVzE
104,Rashmi Rocket,"Drama,Sport",A small-town athlete fights against the system when she is banned from competition due to a gender test.,https://placehold.co/300x450/16213e/f39c12?text=Rashmi%20Rocket,https://www.youtube.com/watch?v=8EpF1d-MVzE
105,Shershaah,"Action,Biography,Drama,War","The story of Captain Vikram Batra, who laid down his life during the Kargil War.",https://placehold.co/300x450/1a1a2e/e50914?text=Shershaah,https://www.youtube.com/watch?v=8EpF1d-MVzE
106,Bhuj: The Pride of India,"Action,Drama,History,War",An IAF squadron leader reconstructs a damaged airbase with the help of 300 local women during the 1971 war.,https://placehold.co/300x450/1a1a2e/e50914?text=Bhuj%3A%20The%20Pride%20of%20India,https://www.youtube.com/watch?v=8EpF1d-MVzE
107,Mimi,"Comedy,Drama",A surrogate mother decides to keep the baby when the biological parents change their mind.,https://placehold.co/300x450/0f3460/f1c40f?text=Mimi,https://www.youtube.com/watch?v=8EpF1d-MVzE
108,Shiddat,"Drama,Romance",A man believes in the power of true love and will go to any length to win back the woman he loves.,https://placehold.co/300x450/16213e/f39c12?text=Shiddat,https://www.youtube.com/watch?v=8EpF1d-MVzE
109,Chehre,"Drama,Mystery,Thriller",A man gets caught in a dangerous game of mock trials with a group of retired law professionals.,https://placehold.co/300x450/16213e/f39c12?text=Chehre,https://www.youtube.com/watch?v=8EpF1d-MVzE
110,Bell Bottom,"Action,Crime,Thriller",A RAW agent must track down the hijackers of an Indian plane in the 1980s.,https://placehold.co/300x450/1a1a2e/e50914?text=Bell%20Bottom,https://www.youtube.com/watch?v=8EpF1d-MVzE
111,Shang-Chi,"Action,Adventure,Fantasy,Sci-Fi",A martial artist must confront his past when he is drawn into the Ten Rings organization.,https://placehold.co/300x450/1a1a2e/e50914?text=Shang-Chi,https://www.youtube.com/watch?v=8EpF1d-MVzE
112,Thalaivii,"Biography,Drama","The story of J. Jayalalithaa, from her rise in the film industry to becoming a powerful political leader.",https://placehold.co/300x450/1a1a2e/f39c12?text=Thalaivii,https://www.youtube.com/watch?v=8EpF1d-MVzE
113,Kya Meri Sonam Gupta Bewafa Hai?,Comedy,"A man believes his girlfriend cheated on him and tries to get revenge, leading to hilarious consequences.",https://placehold.co/300x450/0f3460/f1c40f?text=Kya%20Meri%20Sonam%20Gupta%20Bewa,https://www.youtube.com/watch?v=8EpF1d-MVzE
114,Helmet,"Comedy,Drama",A man starts a business selling condoms in a small town where the topic is considered taboo.,https://placehold.co/300x450/0f3460/f1c40f?text=Helmet,https://www.youtube.com/watch?v=8EpF1d-MVzE
115,200 Halla Ho,"Crime,Drama,Thriller",A group of Dalit women take the law into their own hands when a corrupt politician goes unpunished.,https://placehold.co/300x450/1a1a1a/e74c3c?text=200%20Halla%20Ho,https://www.youtube.com/watch?v=8EpF1d-MVzE
116,Bhoot Police,"Comedy,Horror",Two brothers who fake exorcisms encounter a real ghost and must save a town from supernatural forces.,https://placehold.co/300x450/0f3460/f1c40f?text=Bhoot%20Police,https://www.youtube.com/watch?v=8EpF1d-MVzE
117,The Big Bull,"Crime,Drama,Thriller","The story of Harshad Mehta, a stockbroker who pulled off the biggest financial scam in Indian history.",https://placehold.co/300x450/1a1a1a/e74c3c?text=The%20Big%20Bull,https://www.youtube.com/watch?v=8EpF1d-MVzE
118,Hello Charlie,Comedy,"A man is tasked with transporting a gorilla across the country, leading to a series of comedic mishaps.",https://placehold.co/300x450/0f3460/f1c40f?text=Hello%20Charlie,https://www.youtube.com/watch?v=8EpF1d-MVzE
